user_id,persona,date,merchant,item,kategori,qty,nominal,total_harga,payment_method,combined_text,spending_level,month,day_name,is_weekend,hour,time_category,item_length,word_count,is_digital_payment
U001,anak_kos,2024-01-01 01:10:00,parkir malioboro,parkir motor,transport,1,3275,3275,Debit Card,parkir malioboro parkir motor,low,1,Monday,0,1,night,12,4,0
U004,ibu_rumah_tangga,2024-01-01 02:13:00,miniso,miniso boneka lucu shiba inu bantal tidur mainan mewah cute plush toy 33cm,kebutuhan rumah,3,103671,311013,GoPay,miniso miniso boneka lucu shiba inu bantal tidur mainan mewah cute plush toy 33cm,high,1,Monday,0,2,night,74,14,1
U004,ibu_rumah_tangga,2024-01-01 02:49:00,shopee official store,voucher internet premium quality,tagihan & utilitas,1,51448,51448,DANA,shopee official store voucher internet premium quality,medium,1,Monday,0,2,night,32,7,1
U004,ibu_rumah_tangga,2024-01-01 04:40:00,miniso,miniso matras yoga mat yoga anti slip senam yogamat yoga gym matrass fitness karpet matras,kebutuhan rumah,1,99443,99443,QRIS,miniso miniso matras yoga mat yoga anti slip senam yogamat yoga gym matrass fitness karpet matras,medium,1,Monday,0,4,night,90,16,1
U002,karyawan,2024-01-01 05:13:00,gramedia,novel best seller,hiburan,1,90448,90448,OVO,gramedia novel best seller,medium,1,Monday,0,5,morning,17,4,1
U004,ibu_rumah_tangga,2024-01-01 09:14:00,k24,vitamin b comp novapharin kaplet,kesehatan,1,1562,1562,GoPay,k24 vitamin b comp novapharin kaplet,low,1,Monday,0,9,morning,32,6,1
U001,anak_kos,2024-01-01 10:22:00,miniso,miniso official gantungan baju 10 pcs clothes hanger gantungan baju celana hanger,kebutuhan rumah,4,35234,140936,Debit Card,miniso miniso official gantungan baju 10 pcs clothes hanger gantungan baju celana hanger,medium,1,Monday,0,10,morning,81,13,0
U003,mahasiswa,2024-01-01 13:36:00,trendyfashion,pulpen gel hitam premium quality,pendidikan,1,52333,52333,DANA,trendyfashion pulpen gel hitam premium quality,medium,1,Monday,0,13,afternoon,32,6,1
U004,ibu_rumah_tangga,2024-01-01 14:18:00,miniso,miniso rak multifungsi 2 lapis serbaguna rak kotak penyimpanan rak kosmetik plastik susun rak bumbu dapur duduk tempat,kebutuhan rumah,5,32260,161300,OVO,miniso miniso rak multifungsi 2 lapis serbaguna rak kotak penyimpanan rak kosmetik plastik susun rak bumbu dapur duduk tempat,medium,1,Monday,0,14,afternoon,118,19,1
U005,anak_sultan,2024-01-01 15:38:00,miniso,miniso tas selempang wanita multifungsi handbag totebag jinjing segitiga sling bag pesta model tas terbaru 2021 simple v,belanja,1,75128,75128,GoPay,miniso miniso tas selempang wanita multifungsi handbag totebag jinjing segitiga sling bag pesta model tas terbaru 2021 simple v,medium,1,Monday,0,15,evening,120,19,1
